Country, Both sexes, Male, Female
Afghanistan,30.4,30.3,30.2
Albania,30.1,33.7,26.5
Algeria,26.9,26.8,26.9
Andorra,21.1,25.9,16.3
Angola,30.4,30.2,30.3
Antigua and Barbuda,22.9,25.8,20
Argentina,24.3,29.2,19.5
Armenia,26,27.9,24
Australia,17.5,20.8,14.1
Austria,23.3,27.8,18.7
Azerbaijan,24.9,26,23.7
Bahamas,22.7,26.9,18.6
Bahrain,23.6,24.4,21.6
Bangladesh,25.2,25.1,25.5
Barbados,24.7,27.2,21.9
Belarus,29.3,34.8,24.1
Belgium,19,24.1,14
Belize,23.2,25.1,21.4
Benin,29,28.7,29
Bhutan,28.1,28.5,27.7
Bolivia (Plurinational State of),18.9,20.4,17.4
Bosnia and Herzegovina,30.7,33.4,28
Botswana,30.6,30,30.6
Brazil,25.2,28.3,22.1
Brunei Darussalam,20,23.2,16.8
Bulgaria,29.7,34.7,24.6
Burkina Faso,32.8,31.8,33.2
Burundi,28,26.2,29.8
Cabo Verde,31.1,32.2,29.7
Cambodia,25.5,25.8,25
Cameroon,26.3,26.6,25.9
Canada,15.1,17.8,12.2
Central African Republic,31.4,31.6,30.9
Chad,32.4,31.9,32.8
Chile,22.6,26.9,18.4
China,20.1,22.2,17.9
Colombia,20.5,22.5,18.4
Comoros,27.4,27,27.6
Congo,27.3,28.4,26.1
Cook Islands,23.3,25.9,20.6
Costa Rica,20.1,22.1,17.9
Côte d'Ivoire,28.3,29,27.7
Croatia,32.5,37.8,27.2
Cuba,20.4,22.2,18.5
Cyprus,21.7,25.9,17.2
Czechia,29.2,35.8,22.5
Democratic People's Republic of Korea,18.8,19.6,17.5
Democratic Republic of the Congo,28.8,29.5,27.9
Denmark,23.6,30.2,17.1
Djibouti,28.5,29.7,27.2
Dominica,23.9,27,20.8
Dominican Republic,23.1,25.3,21
Ecuador,18.6,20.2,17.1
Egypt,25.8,25.3,26
El Salvador,19.7,21.2,18.4
Equatorial Guinea,28.6,29.4,27.8
Eritrea,28.6,27.8,28.9
Estonia,28.9,35.6,22.5
Eswatini,29.8,28.5,30.5
Ethiopia,29.4,28.2,30.4
Fiji,22.2,22.8,21.4
Finland,21.8,26.6,16.8
France,24.8,31,18.8
Gabon,27.1,29.3,24.8
Gambia,30.2,31,29.7
Georgia,26.2,28.3,24.1
Germany,22.7,27.4,17.8
Ghana,25.2,26.2,24.1
Greece,20.9,24.5,17.2
Grenada,24.3,26.7,21.7
Guatemala,21.7,22.3,21.1
Guinea,30.3,29.2,31.2
Guinea-Bissau,31.1,30.5,31.4
Guyana,22.8,24.4,21
Haiti,25.6,26,25.1
Honduras,22,22.9,21
Hungary,31.9,38.1,25.9
Iceland,21.9,28.7,14.9
India,25.6,26.4,24.6
Indonesia,24.5,25,23.9
Iran (Islamic Republic of),21.8,22.3,21.3
Iraq,26.5,26.6,26.2
Ireland,22.4,26.3,18.5
Israel,18.9,23,14.9
Italy,24,28.3,19.6
Jamaica,22.6,25.2,20
