,,,"Number of deaths attributed to non-communicable diseases, by type of disease(diabetes, rest redacted(fuzzy)) and sex",,
Country, Both sexes, Male, Female,Population,Deaths / 100k
Afghanistan,7056,2437,4620,35383128,19.94170781
Albania,168,89,79,2876101,5.841241319
Algeria,8390,3985,4405,40551404,20.68978919
Angola,2379,1362,1017,28842484,8.248249353
Antigua and Barbuda,53,24,29,94527,56.06863647
Argentina,9233,4837,4395,43590368,21.18128482
Armenia,1093,431,662,2936146,37.2256693
Australia,4754,2493,2261,24190907,19.65201222
Austria,3402,1574,1828,8736668,38.93933019
Azerbaijan,1475,635,840,9757812,15.11609365
Bahamas,119,51,68,377931,31.48722915
Bahrain,404,220,184,1425791,28.3351487
Bangladesh,28065,11516,16549,157970840,17.76593706
Barbados,286,118,168,285796,100.0713796
Belarus,404,157,247,9501534,4.251945002
Belgium,1683,754,929,11331422,14.85250483
Belize,160,71,89,368400,43.4310532
Benin,1515,620,895,10872067,13.93479271
Bhutan,207,87,120,736709,28.09793283
Bolivia (Plurinational State of),2867,1264,1603,11031813,25.98847533
Bosnia and Herzegovina,2552,1040,1511,3386267,75.36322446
Botswana,977,396,581,2159944,45.23265418
Brazil,65381,29802,35579,206163058,31.71324709
Brunei Darussalam,140,73,67,419800,33.34921391
Bulgaria,1585,688,897,7127822,22.2368067
Burkina Faso,2105,1054,1051,18646378,11.28905571
Burundi,1251,768,482,10487998,11.92791989
Cabo Verde,134,40,94,531146,25.22846826
Cambodia,2192,837,1355,15766293,13.90307791
Cameroon,4567,1995,2572,23926539,19.0875914
Canada,6941,3751,3191,36109487,19.22209529
Central African Republic,642,371,271,4537687,14.14817725
Chad,1848,768,1081,14561666,12.69085557
Chile,5171,2450,2722,18209068,28.39793887
China,167267,68340,98927,1378665000,12.13253401
Colombia,9732,4538,5195,48171392,20.20286231
Comoros,135,76,59,795592,16.96849642
Congo,659,335,323,4980999,13.2302777
Costa Rica,916,423,493,4899345,18.69637676
Côte d'Ivoire,5598,2393,3204,23822714,23.49858207
Croatia,1904,775,1129,4174349,45.6119026
Cuba,2388,973,1415,11335109,21.06728749
Cyprus,591,287,304,1170187,50.50474839
Czechia,3818,1728,2090,10566332,36.13363654
Democratic People's Republic of Korea,3182,1465,1717,25307744,12.5732266
Democratic Republic of the Congo,7985,5078,2906,78789127,10.13464713
Denmark,1485,833,651,5728010,25.92523407
Djibouti,185,109,76,929112,19.91148538
Dominican Republic,2453,1144,1309,10397743,23.59165831
Ecuador,6507,3002,3504,16491115,39.45761096
Egypt,17851,8858,8993,94447072,18.90053299
El Salvador,2270,878,1392,6356143,35.71348222
Equatorial Guinea,290,185,105,1215179,23.86479687
Eritrea,865,506,359,,#DIV/0!
Estonia,152,60,93,1315790,11.55199538
Eswatini,739,284,456,1113984,66.33847524
Ethiopia,13028,7629,5399,103603501,12.57486463
Fiji,1440,756,684,872399,165.0620874
Finland,510,275,235,5495303,9.28065295
France,12375,6184,6191,66859768,18.50888863
Gabon,394,218,177,2007873,19.62275502
Gambia,202,89,112,2149139,9.399112854
Georgia,1329,644,685,3727505,35.65387572
Germany,24764,11231,13533,82348669,30.07213146
Ghana,5693,2985,2708,28481946,19.98810053
Greece,1769,889,880,10775971,16.41615405
Grenada,82,36,46,110261,74.3689972
Guatemala,6628,2665,3963,16583060,39.96849797
